[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Found reasonable threshold of 0.002%
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Found reasonable threshold of 0.002%
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Found reasonable threshold of 0.002%
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Using clustering threshold of 0.002
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Using clustering threshold of 0.002
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Using clustering threshold of 0.002
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Found reasonable threshold of 0.007%
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Found reasonable threshold of 0.007%
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Found reasonable threshold of 0.007%
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Using clustering threshold of 0.007
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Using clustering threshold of 0.007
[2021-06-22 00:11:29,388] DEBUG    sbp.clusterer    Using clustering threshold of 0.007
[2021-06-22 00:11:29,388] DEBUG    sbp.clusanno     Annotating 20 Sections
[2021-06-22 00:11:29,388] DEBUG    sbp.clusanno     Annotating 20 Sections
[2021-06-22 00:11:29,388] DEBUG    sbp.clusanno     Annotating 20 Sections
[2021-06-22 00:11:29,389] DEBUG    sbp.clusanno     Annotating 8 Sections
[2021-06-22 00:11:29,389] DEBUG    sbp.clusanno     Annotating 8 Sections
[2021-06-22 00:11:29,389] DEBUG    sbp.clusanno     Annotating 8 Sections
[2021-06-22 00:12:01,116] DEBUG    sbp.columniser   Configure columniser with parameters:
[2021-06-22 00:12:01,116] DEBUG    sbp.columniser   Configure columniser with parameters:
[2021-06-22 00:12:01,116] DEBUG    sbp.columniser   Configure columniser with parameters:
[2021-06-22 00:12:01,117] DEBUG    sbp.columniser   	left_offset_leeway=0.01
[2021-06-22 00:12:01,117] DEBUG    sbp.columniser   	left_offset_leeway=0.01
[2021-06-22 00:12:01,117] DEBUG    sbp.columniser   	left_offset_leeway=0.01
[2021-06-22 00:12:01,118] DEBUG    sbp.columniser   	right_offset_leeway=0.1
[2021-06-22 00:12:01,118] DEBUG    sbp.columniser   	right_offset_leeway=0.1
[2021-06-22 00:12:01,118] DEBUG    sbp.columniser   	right_offset_leeway=0.1
[2021-06-22 00:12:01,118] DEBUG    sbp.columniser   	max_vertical_gap=0.01
[2021-06-22 00:12:01,118] DEBUG    sbp.columniser   	max_vertical_gap=0.01
